"","X","...1","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1397",1397,45,46562,"04_E_2_R",2175.5,2.625,3.925,3.925,"PHE",3.49485,3.46589971590934
"1407",1407,55,46564,"22_K_3_R",2171.3,1.549,3.47,3.47,"PHE",3.03985,2.86439232954605
"1412",1412,60,46565,"22_K_3_R",2171.9,1.55,4.608,4.608,"PHE",4.17785,3.92913863636418
"1417",1417,65,46566,"22_K_3_R",2171.7,1.524,5.025,5.025,"PHE",4.59485,4.27288494318232
"1427",1427,75,46571,"86_W_3",2173.4,1.763,7.59,7.59,"PHE",7.15985,6.47161647727297
"1432",1432,80,46572,"86_W_3",2172.1,1.762,7.634,7.634,"PHE",7.20385,6.44236278409111
"1437",1437,85,46573,"86_W_3",2172.6,1.622,7.644,7.644,"PHE",7.21385,6.37910909090924
"1467",1467,20,46580,"77_E_3",2172.6,3.352,2.073,2.073,"PHE",1.64285,1.35587727272896
"1472",1472,25,46581,"77_E_3",2172.1,3.005,2.343,2.343,"PHE",1.91285,1.535457670456
"1477",1477,30,46582,"77_E_3",2171.7,2.824,2.243,2.243,"PHE",1.81285,1.34503806818304
"1482",1482,35,46583,"71_W_2",2169.6,2.134,8.015,8.015,"PHE",7.58485,7.02661846591008
"1487",1487,40,46584,"71_W_2",2169.2,1.784,7.607,7.607,"PHE",7.17685,6.52819886363712
"1492",1492,45,46585,"71_W_2",2168.2,1.725,7.655,7.655,"PHE",7.22485,6.48577926136507
"1502",1502,55,46587,"71_W_3",2174.2,2.911,2.948,2.948,"PHE",2.51785,1.59794005681915
"1507",1507,60,46588,"71_W_3",2173.2,2.618,3.938,3.938,"PHE",3.50785,2.49752045454619
"1512",1512,65,46589,"71_W_3",2173.8,2.553,4.794,4.794,"PHE",4.36385,3.26310085227323
"1517",1517,70,46590,"74_E_2",2173.2,2.44,6.822,6.822,"PHE",6.39185,5.20068125000118
"1522",1522,75,46591,"74_E_2",2173.4,2.349,6.408,6.408,"PHE",5.97785,4.69626164772822
"1527",1527,80,46592,"74_E_2",2171.5,2.342,7.024,7.024,"PHE",6.59385,5.22184204545526
"1537",1537,90,46594,"77_K_2",2175.3,2.95,6.605,6.605,"PHE",6.17485,4.62200284090934
"1542",1542,95,46595,"77_K_2",2172.8,2.398,6.286,6.286,"PHE",5.85585,4.21258323863729
"1547",1547,100,46596,"77_K_2",2171.9,2.282,6.799,6.799,"PHE",6.36885,4.63516363636434
"1577",1577,20,46805,"71_K_2",2176.7,3.717,3.956,3.956,"PHE",3.52585,3.31058181818108
"1582",1582,25,46806,"71_K_2",2193.5,3.754,3.706,3.706,"PHE",3.27585,3.19697613636245
"1587",1587,30,46807,"71_K_2",2182.4,3.59,3.631,3.631,"PHE",3.20085,3.25837045454473
"1592",1592,35,46808,"71_K_3",2173.8,2.619,3.196,3.196,"PHE",2.76585,2.95976477272611
"1597",1597,40,46809,"71_K_3",2174,2.475,2.479,2.479,"PHE",2.04885,2.37915909090839
"1602",1602,45,46810,"71_K_3",2173.2,2.272,3.192,3.192,"PHE",2.76185,3.22855340908977
"1612",1612,55,46812,"71_E_2",2181.3,4.034,3.062,3.062,"PHE",2.63185,3.37134204545342
"1617",1617,60,46813,"71_E_2",2181.5,3.906,3.639,3.639,"PHE",3.20885,4.0847363636348
"1622",1622,65,46814,"71_E_2",2182.4,3.683,4.541,4.541,"PHE",4.11085,5.12313068181708
"1627",1627,70,46815,"71_E_3",2180.1,2.443,2.759,2.759,"PHE",2.32885,3.47752499999845
"1632",1632,75,46816,"71_E_3",2188.6,2.291,3.206,3.206,"PHE",2.77585,4.06091931818074
"1637",1637,80,46817,"71_E_3",2219.8,2.08,3.067,3.067,"PHE",2.63685,4.05831363636211
"1672",1672,20,46827,"68_W_3",2177.4,4.083,3.369,3.369,"PHE",2.93885,3.27726818181727
"1677",1677,25,46828,"68_W_3",2178,3.836,3.589,3.589,"PHE",3.15885,3.57152073863528
"1682",1682,30,46829,"68_W_3",2178.6,3.628,3.984,3.984,"PHE",3.55385,4.04077329545374
"1687",1687,35,46830,"68_K_2",2178.2,3.956,1.827,1.827,"PHE",1.39685,1.95802585227175
"1692",1692,40,46831,"68_K_2",2177.8,3.671,1.686,1.686,"PHE",1.25585,1.89127840908976
"1697",1697,45,46832,"68_K_2",2178.4,3.263,1.439,1.439,"PHE",1.00885,1.71853096590823
"1707",1707,55,46834,"67_E_2",2178.8,2.994,2.528,2.528,"PHE",2.09785,2.9560360795447
"1712",1712,60,46835,"67_E_2",2180.3,2.655,1.008,1.008,"PHE",0.57785,1.51028863636271
"1717",1717,65,46836,"67_E_2",2181.3,2.57,0.764,0.764,"PHE",0.33385,1.34054119318117
"1722",1722,70,46837,"67_E_3",2184.7,3.044,3.612,3.612,"PHE",3.18185,4.26279374999918
"1727",1727,75,46838,"67_E_3",2188,2.854,3.413,3.413,"PHE",2.98285,4.13804630681719
"1732",1732,80,46839,"67_E_3",2189.3,2.782,2.502,2.502,"PHE",2.07185,3.30129886363566
"1742",1742,90,46841,"65_W_2",2221.5,2.982,5.188,5.188,"PHE",4.75785,6.13580397727213
"1747",1747,95,46842,"65_W_2",2279.4,2.801,3.163,3.163,"PHE",2.73285,4.18505653409014
"1752",1752,100,46843,"65_W_2",2352.1,2.795,1.424,1.424,"PHE",0.99385,2.52030909090861
"1782",1782,20,46849,"68_W_2",2176.3,3.716,3.759,3.759,"PHE",3.32885,3.76423181818157
"1787",1787,25,46850,"68_W_2",2176.3,3.543,2.985,2.985,"PHE",2.55485,2.96801051136336
"1792",1792,30,46851,"68_W_2",2176.3,3.503,3.342,3.342,"PHE",2.91185,3.30278920454538
"1797",1797,35,46852,"65_K_2",2179.7,4.517,5.133,5.133,"PHE",4.70285,5.07156789772717
"1802",1802,40,46853,"65_K_2",2179.2,3.926,3.865,3.865,"PHE",3.43485,3.78134659090896
"1807",1807,45,46854,"65_K_2",2179.5,3.544,4,4,"PHE",3.56985,3.89412528409075
"1817",1817,55,46856,"65_E_2",2181.8,2.781,2.551,2.551,"PHE",2.12085,2.40068267045456
"1822",1822,60,46857,"65_E_2",2182.4,2.407,3.061,3.061,"PHE",2.63085,2.88846136363635
"1827",1827,65,46858,"65_E_2",2186.6,2.365,2.455,2.455,"PHE",2.02485,2.26024005681814
"1862",1862,20,46871,"89_K_2_R",2174.4,3.193,4.06,4.06,"PHE",3.62985,3.81544999999993
"1873",1873,31,46872,"89_K_2_R",2174.4,3.138,3.601,3.601,"PHE",3.17085,3.33944687499995
"1878",1878,36,46873,"89_K_2_R",2174.6,3.07,3.998,3.998,"PHE",3.56785,3.71944374999998
"1883",1883,41,46874,"74_W_2_R",2173,2.719,5.829,5.829,"PHE",5.39885,5.53344062499989
"1888",1888,46,46875,"74_W_2_R",2173,2.483,4.308,4.308,"PHE",3.87785,3.99543749999992
"1893",1893,51,46876,"74_W_2_R",2173.4,2.378,4.332,4.332,"PHE",3.90185,4.00243437499994
"1903",1903,61,46878,"01_E_3_R",2179,3.53,2.563,2.563,"PHE",2.13285,2.19942812499988
"1908",1908,66,46879,"01_E_3_R",2180.1,3.056,3.915,3.915,"PHE",3.48485,3.53442499999991
"1913",1913,71,46880,"01_E_3_R",2181.5,3.025,3.33,3.33,"PHE",2.89985,2.93242187499994
"1918",1918,76,46881,"95_W_3",2180.3,1.707,4.1,4.1,"PHE",3.66985,3.68541874999996
"1923",1923,81,46882,"95_W_3",2184.1,1.61,5.81,5.81,"PHE",5.37985,5.37841562499987
"1928",1928,86,46883,"95_W_3",2189.1,1.57,4.992,4.992,"PHE",4.56185,4.5434124999999
"1938",1938,96,46885,"95_W_2",2198.9,1.387,3.841,3.841,"PHE",3.41085,3.35840624999995
"1943",1943,101,46886,"95_W_2",2203.1,1.316,5.134,5.134,"PHE",4.70385,4.63440312499987
"1977",1977,20,46893,"22_K_2",2172.1,2.395,5.192,5.192,"PHE",4.76185,4.78707727272562
"1982",1982,25,46894,"22_K_2",2171.9,2.362,6.203,6.203,"PHE",5.77285,5.74348267045305
"1987",1987,30,46895,"22_K_2",2172.1,2.295,4.582,4.582,"PHE",4.15185,4.06788806818047
"1992",1992,35,46896,"22_E_2",2171.7,2.448,1.918,1.918,"PHE",1.48785,1.3492934659079
"1997",1997,40,46897,"22_E_2",2172.3,2.408,3.333,3.333,"PHE",2.90285,2.70969886363533
"2002",2002,45,46898,"22_E_2",2171.9,2.262,3.174,3.174,"PHE",2.74385,2.4961042613623
"2012",2012,55,46900,"22_E_3",2175.7,3.333,2.859,2.859,"PHE",2.42885,2.07191505681716
"2017",2017,60,46901,"22_E_3",2175.7,2.852,1.738,1.738,"PHE",1.30785,0.896320454544582
"2022",2022,65,46903,"16_W_2",2176.5,2.192,3.47,3.47,"PHE",3.03985,2.51913124999944
"2027",2027,70,46904,"16_W_2",2176.9,1.936,4.646,4.646,"PHE",4.21585,3.64053664772641
"2032",2032,75,46905,"16_W_2",2178.4,1.843,6.347,6.347,"PHE",5.91685,5.28694204545384
"2042",2042,85,46907,"16_W_3",2185.9,2.35,6.28,6.28,"PHE",5.84985,5.11075284090869
"2047",2047,90,46908,"16_W_3",2188.9,2.088,6.049,6.049,"PHE",5.61885,4.82515823863612
"2052",2052,95,46909,"16_W_3",2193.5,2.08,6.376,6.376,"PHE",5.94585,5.09756363636354
"2082",2082,20,46915,"16_E_2",2170.7,2.213,3.677,3.677,"PHE",3.24685,3.31155454545435
"2087",2087,25,46916,"16_E_2",2171.3,2.182,3.264,3.264,"PHE",2.83385,2.87957784090887
"2092",2092,30,46917,"16_E_2",2170,2.16,3.763,3.763,"PHE",3.33285,3.35960113636351
"2097",2097,35,46918,"13_W_2_a",2170.9,2.076,3.478,3.478,"PHE",3.04785,3.05562443181803
"2102",2102,40,46919,"13_W_2_a",2171.3,1.907,3.44,3.44,"PHE",3.00985,2.99864772727255
"2107",2107,45,46920,"13_W_2_a",2171.1,1.749,3.03,3.03,"PHE",2.59985,2.56967102272707
"2117",2117,55,46922,"13_W_3_a",2173.2,1.574,2.266,2.266,"PHE",1.83585,1.76771761363622
"2122",2122,60,46923,"13_W_3_a",2173.2,1.349,3.315,3.315,"PHE",2.88485,2.79774090909074
"2127",2127,65,46924,"13_W_3_a",2175.5,1.276,4.582,4.582,"PHE",4.15185,4.04576420454526
"2132",2132,70,46925,"07_W_2",2176.3,1.447,3.533,3.533,"PHE",3.10285,2.97778749999978
"2137",2137,75,46926,"07_W_2",2178.8,1.336,3.658,3.658,"PHE",3.22785,3.0838107954543
"2142",2142,80,46927,"07_W_2",2180.9,1.276,4.51,4.51,"PHE",4.07985,3.91683409090893
"2177",2177,20,46937,"86_W_2",2175.5,4.737,3.702,3.702,"PHE",3.27185,3.38045434462383
"2182",2182,25,46938,"86_W_2",2176.1,4.564,3.711,3.711,"PHE",3.28085,3.33961671575824
"2187",2187,30,46939,"86_W_2",2175.5,4.429,4.122,4.122,"PHE",3.69185,3.7007790868922
"2192",2192,35,46940,"07_E_3",2172.6,2.981,2.608,2.608,"PHE",2.17785,2.13694145802616
"2197",2197,40,46941,"07_E_3",2172.6,2.788,2.818,2.818,"PHE",2.38785,2.29710382916011
"2202",2202,45,46942,"07_E_3",2172.8,2.644,3.177,3.177,"PHE",2.74685,2.60626620029407
"2212",2212,55,46944,"01_W_2",2179.5,3.781,2.889,2.889,"PHE",2.45885,2.21859094256244
"2217",2217,60,46945,"01_W_2",2180.5,3.482,4.241,4.241,"PHE",3.81085,3.52075331369639
"2222",2222,65,46946,"01_W_2",2182.2,3.473,4.442,4.442,"PHE",4.01185,3.67191568483035
"2227",2227,70,46947,"98_E_3",2179.9,1.563,7.307,7.307,"PHE",6.87685,6.4870780559643
"2232",2232,75,46948,"98_E_3",2184.9,1.443,5.578,5.578,"PHE",5.14785,4.70824042709826
"2237",2237,80,46949,"98_E_3",2192.4,1.397,6.854,6.854,"PHE",6.42385,5.93440279823267
"2277",2277,25,46966,"74_K_2",2175.1,1.593,4.065,4.065,"PHE",3.63485,2.8012187499994
"2282",2282,30,46967,"74_K_2",2175.5,1.621,5.769,5.769,"PHE",5.33885,4.41342471590887
"2287",2287,35,46968,"74_K_2",2175.3,1.693,4.927,4.927,"PHE",4.49685,3.47963068181744
"2297",2297,45,46970,"74_W_2",2179,1.973,5.832,5.832,"PHE",5.40185,4.20104261363638
"2302",2302,50,46971,"74_W_2",2184.3,1.922,6.196,6.196,"PHE",5.76585,4.47324857954495
"2307",2307,55,46972,"74_W_2",2189.5,1.98,6.11,6.11,"PHE",5.67985,4.29545454545442
"2337",2337,20,47257,"74_E_2",2378.2,8.216,3.842,3.842,"PHE",3.41185,3.53697272727226
"2342",2342,25,47258,"74_E_2",2378.2,7.786,2.853,2.853,"PHE",2.42285,2.65766420454563
"2347",2347,30,47259,"74_E_2",2377.2,7.62,2.641,2.641,"PHE",2.21085,2.5553556818181
"2352",2352,35,47260,"89_W_2_R",2374.9,4.802,2.177,2.177,"PHE",1.74685,2.20104715909056
"2357",2357,40,47262,"89_W_2_R",2374.2,4.418,0.981,0.981,"PHE",0.55085,1.2244301136364
"2367",2367,50,47264,"92_W_3",2375.1,5.07,1.249,1.249,"PHE",0.81885,1.71181306818132
"2372",2372,55,47265,"92_W_3",2374.4,4.619,0.934,0.934,"PHE",0.50385,1.50650454545469
"2377",2377,60,47266,"92_W_3",2384.7,6.949,6.131,6.131,"PHE",5.70085,6.81319602272716
"2390",2390,73,47269,"77_E_2",2377.4,4.907,4.089,4.089,"PHE",3.65885,5.10027045454546
