"","year","total_return","BBsumT","GoAwinT","AIwinT","AIsumT","BSsumT","LakeTemp","pink_tot_num","chum_tot_num","sel_diff"
"41",1988,24.3317,10.336,4.3423,2.623,9.1683,8.4517,10.47,212.1579,111.9554,-7.8096
"42",1989,46.0804,10.3547,4.3793,2.2037,9.4143,8.732,8.31,364.3859,99.0825,-5.6169
"43",1990,49.6223,10.352,4.5307,2.235,9.176,8.404,9.23,303.0356,113.6079,-15.2677
"44",1991,43.8327,10.227,5.463,2.271,9.254,8.8457,9.15,486.0193,105.2962,-5.2536
"45",1992,47.8386,8.917,4.6067,2.1483,8.6293,7.8293,8.61,277.2342,92.4123,-9.294
"46",1993,55.3037,10.3623,4.6633,2.3187,9.5577,8.8877,11.63,398.5925,122.8191,-2.9592
"47",1994,52.2254,9.8393,5.1267,3.0093,9.1693,8.152,10.35,453.7487,137.4189,-17.5375
"48",1995,63.0588,10.2883,4.862,2.2367,9.5113,8.995,11.44,434.8676,146.2318,-7.7184
"49",1996,38.4191,9.4093,5.6597,3.3787,9.4753,8.5873,10.54,424.2513,161.8954,-4.7675
"50",1997,20.7279,11.3987,5.685,2.9013,10.2527,9.367,12.55,401.9696,132.953,-6.9074
"51",1998,20.0954,9.704,4.7513,2.2957,9.0937,8.0043,9.85,443.5716,134.4687,-9.8061
"52",1999,41.918,9.162,4.482,2.1787,8.5063,7.5163,9.16,501.074,115.165,-9.8434
"53",2000,30.1907,9.254,3.9503,1.5503,9.3487,8.543,10.65,381.8193,113.9507,0.2831
"54",2001,22.8181,9.859,4.25,3.306,9.179,8.0253,10.37,401.8196,133.7196,5.9124
"55",2002,17.8536,10.5457,4.081,1.861,9.7367,9.2043,9.97,382.8857,120.6152,-2.6219
"56",2003,26.8118,10.8393,4.4827,3.5523,10.149,9.7433,9.7,466.3283,135.5353,-6.7867
"57",2004,44.798,12.0777,4.5603,3.0677,10.5537,10.1347,12.34,361.2706,143.1788,-8.5218
"58",2005,40.2869,11.6867,5.227,3.497,10.1583,9.4517,11.61,594.4662,131.3057,0.7273
"59",2006,43.7993,9.992,4.7227,2.499,9.434,8.6703,9.87,344.0284,143.5615,-18.4754
"60",2007,46.2753,10.591,4.3787,1.9193,9.6743,9.191,9.69,548.774,130.8849,-4.7607
"61",2008,42.0867,9.4297,4.2643,1.056,9.2857,8.5733,8.91,328.1717,118.1742,-5.7269
"62",2009,41.5577,9.9637,4.71,1.6157,8.7157,7.9423,8.86,657.1628,145.4959,-11.4204
"63",2010,41.231,9.0573,4.5947,1.5013,8.8327,8.283,7.98,407.2143,131.8278,-7.1587
"64",2011,31.7967,8.9743,4.718,2.3353,8.8173,7.8073,9.04,653.7625,123.9042,1.1538
"65",2012,31.7316,8.4303,4.484,0.4527,8.3477,7.7373,8.7,435.5748,136.2527,-5.145
"66",2013,25.6673,10.217,4.6123,1.7173,9.5663,8.838,8.2,577.8224,146.6063,-4.194
"67",2014,41.4187,11.9267,5.4217,3.2723,11.2237,10.703,10.58,355.8471,144.1864,-10.895
"68",2015,59.8632,11.152,5.1497,3.8047,10.2777,9.5197,11.02,549.4209,157.2126,-12.1146
"69",2016,52.8038,12.7083,4.6893,3.5677,11.331,10.9187,13,432,150,-14.9909
"70",2017,58.1615,10.7193,4.6763,3.1973,9.9063,9.4117,12.03,513,123,-7.719
"71",2018,63.7046,10.814,5.3223,3.654,9.8133,9.5103,10.56,701,140,-11.2814
"72",2019,56.948,12.8553,5.4737,3.5683,11.1593,10.6247,12.8,639,111,-14.2893
"73",2020,59.3483,10.903,4.8663,2.3343,9.6903,9.1617,11.92,315,92,-15.6061
