Year,Month,NPGO
1990,6,-0.06543378
1990,7,-0.25829867
1990,8,-0.3304058
1990,9,-0.15925638
1990,10,-0.12022116
1990,11,-0.73895204
1990,12,-1.532809
1991,1,-0.7442184
1991,2,-0.30453128
1991,3,-0.80698496
1991,4,-0.20643753
1991,5,-0.059529252
1991,6,-0.38776967
1991,7,-0.4794923
1991,8,-0.57405317
1991,9,-0.94857556
1991,10,-1.0900902
1991,11,-0.17231725
1991,12,-0.21297704
1992,1,0.49307737
1992,2,-0.45653144
1992,3,-0.8208018
1992,4,-1.4336134
1992,5,-1.7956172
1992,6,-1.3506516
1992,7,-1.4624325
1992,8,-1.2474734
1992,9,-0.9466296
1992,10,-0.968989
1992,11,-1.2806748
1992,12,-1.8686891
1993,1,-2.8169835
1993,2,-2.1408179
1993,3,-1.7419109
1993,4,-0.75883627
1993,5,-1.0894275
1993,6,-1.6821039
1993,7,-1.6785553
1993,8,-1.5143229
1993,9,-2.0474348
1993,10,-2.3542967
1993,11,-2.9986691
1993,12,-2.0005527
1994,1,-1.8540143
1994,2,-1.9786652
1994,3,-1.8557886
1994,4,-1.4470739
1994,5,-0.30135894
1994,6,-0.61160344
1994,7,-0.71112967
1994,8,-0.85876787
1994,9,-1.1048639
1994,10,-1.1107256
1994,11,-1.6884391
1994,12,-1.0167549
1995,1,-0.49903342
1995,2,-1.5608722
1995,3,-2.05465
1995,4,-1.8249588
1995,5,-1.5042439
1995,6,-1.0479894
1995,7,-1.4994407
1995,8,-1.006015
1995,9,-0.8939211
1995,10,-0.5177138
1995,11,-0.2774263
1995,12,0.21576191
1996,1,-0.6389771
1996,2,-1.0529048
1996,3,-1.1487637
1996,4,-0.43611655
1996,5,-1.2747658
1996,6,-1.0600342
1996,7,-0.88413566
1996,8,-0.7482501
1996,9,-0.93392843
1996,10,-1.0410775
1996,11,-1.1001672
1996,12,-1.3549181
1997,1,-1.6402249
1997,2,-1.113095
1997,3,-0.6180283
1997,4,-0.5061382
1997,5,-0.87719417
1997,6,-0.93839335
1997,7,-0.7723616
1997,8,-0.7858272
1997,9,-0.48147622
1997,10,-0.59425896
1997,11,0.17402893
1997,12,0.26068166
1998,1,0.5279142
1998,2,1.9000587
1998,3,0.8933178
1998,4,0.5215131
1998,5,0.27758157
1998,6,0.11902247
1998,7,0.39316174
1998,8,0.2726569
1998,9,0.044480387
1998,10,0.098751135
1998,11,0.7173509
1998,12,0.7688304
1999,1,1.0828257
1999,2,2.3041594
1999,3,1.9742975
1999,4,1.6464381
1999,5,1.6045933
1999,6,1.9053233
1999,7,1.3811213
1999,8,1.4334654
1999,9,1.3049656
1999,10,1.1788208
1999,11,1.3205504
1999,12,1.0528054
2000,1,1.4045384
2000,2,2.123531
2000,3,2.1492677
2000,4,2.3652706
2000,5,2.220292
2000,6,2.1020663
2000,7,1.655785
2000,8,1.3516272
2000,9,1.3801795
2000,10,1.6981881
2000,11,2.0145948
2000,12,2.164995
2001,1,2.8619328
2001,2,2.9560468
2001,3,2.388775
2001,4,2.2039413
2001,5,1.9538953
2001,6,2.349303
2001,7,1.5004872
2001,8,1.9150242
2001,9,1.8929954
2001,10,1.1619115
2001,11,1.7645249
2001,12,2.019483
2002,1,1.8641573
2002,2,2.1773567
2002,3,1.8982763
2002,4,0.89742213
2002,5,1.102573
2002,6,1.6053913
2002,7,1.3822964
2002,8,0.8118436
2002,9,0.8244111
2002,10,0.8236371
2002,11,1.6592152
2002,12,2.636547
2003,1,1.9691832
2003,2,0.9925656
2003,3,1.4907115
2003,4,1.1017216
2003,5,0.9192588
2003,6,0.77769154
2003,7,1.2024409
2003,8,0.78228796
2003,9,0.8692253
2003,10,1.286991
2003,11,-0.11436786
2003,12,0.22437689
2004,1,0.26501486
2004,2,0.6672296
2004,3,0.38293236
2004,4,0.1252492
2004,5,0.20735337
2004,6,0.7764751
2004,7,0.41156805
2004,8,0.68538326
2004,9,0.3764023
2004,10,0.042904183
2004,11,-0.44177726
2004,12,-0.98521197
2005,1,-1.9348356
2005,2,-1.5993882
2005,3,-1.4269778
2005,4,-1.7172002
2005,5,-0.7822376
2005,6,-1.396882
2005,7,-1.5583678
2005,8,-1.1386107
2005,9,-1.8340229
2005,10,-1.0356367
2005,11,-1.7418418
2005,12,-1.4634829
2006,1,-0.7054281
2006,2,-0.96234363
2006,3,-0.73545015
2006,4,-0.6410306
2006,5,-0.10933311
2006,6,-0.13355318
2006,7,-0.2641648
2006,8,-0.2690839
2006,9,-0.4827695
2006,10,-0.90868944
2006,11,-1.1642832
2006,12,-0.2233618
2007,1,-0.2866554
2007,2,-0.023274148
2007,3,-0.63695335
2007,4,0.20904368
2007,5,0.5145978
2007,6,1.2697477
2007,7,1.3383559
2007,8,1.2415876
2007,9,0.7152386
2007,10,1.3893583
2007,11,0.71503973
2007,12,0.5076655
2008,1,0.78723997
2008,2,1.2650077
2008,3,1.326652
2008,4,1.3599268
2008,5,1.7339512
2008,6,1.5539058
2008,7,1.6279422
2008,8,2.127842
2008,9,2.1982598
2008,10,1.7238394
2008,11,1.768187
2008,12,0.4414995
2009,1,0.72340214
2009,2,0.8306303
2009,3,0.060374696
2009,4,0.22208461
2009,5,0.49203375
2009,6,0.42516747
2009,7,0.33705008
2009,8,0.3664659
2009,9,1.0266757
2009,10,1.0968685
2009,11,0.9441068
2009,12,1.1622121
2010,1,2.02415
2010,2,1.8351241
2010,3,1.6520432
2010,4,1.1288434
2010,5,1.9813604
2010,6,1.3132159
2010,7,0.8232608
2010,8,0.8318668
2010,9,1.0082582
2010,10,1.4315126
2010,11,0.74255043
2010,12,0.7028179
2011,1,0.20980746
2011,2,0.2865682
2011,3,1.1446472
2011,4,0.7205797
2011,5,1.6721777
2011,6,1.1740161
2011,7,0.58466727
2011,8,0.9308393
2011,9,1.3709266
2011,10,1.0299715
2011,11,0.3228834
2011,12,0.028680965
2012,1,0.6673615
2012,2,0.7175125
2012,3,1.0337716
2012,4,2.0886896
2012,5,1.8115312
2012,6,1.8846908
2012,7,1.6670696
2012,8,1.7534624
2012,9,1.4452765
2012,10,1.6405772
2012,11,1.2699935
2012,12,1.0928954
2013,1,1.1479099
2013,2,1.110598
2013,3,0.6923425
2013,4,0.58926874
2013,5,1.0119185
2013,6,0.69222814
2013,7,0.34242114
2013,8,0.75683695
2013,9,0.35435334
2013,10,-0.20542362
2013,11,-0.7714424
2013,12,-1.362143
2014,1,-0.5781481
2014,2,-0.231468
2014,3,-0.3844578
2014,4,-0.2520736
2014,5,0.30973682
2014,6,-0.42837438
2014,7,-0.1119243
2014,8,-0.51549804
2014,9,-0.8754944
2014,10,0.45922524
2014,11,0.4760183
2014,12,-0.22482131
2015,1,-0.77622783
2015,2,-1.3168216
2015,3,-1.2847062
2015,4,-1.2025687
2015,5,-0.7442898
2015,6,-1.2668676
2015,7,-1.2708062
2015,8,-1.9270991
2015,9,-2.2653568
2015,10,-1.237989
2015,11,-2.1427865
2015,12,-1.1337781
2016,1,0.949199
2016,2,0.26198375
2016,3,0.6225584
2016,4,-0.24697562
2016,5,-0.71549016
2016,6,-1.0154705
2016,7,-0.4952051
2016,8,-0.8600081
2016,9,-0.7350473
2016,10,0.6762804
2016,11,1.2893178
2016,12,-1.6557218
2017,1,-0.1840046
2017,2,-0.6027556
2017,3,-0.84995306
2017,4,-0.07583734
2017,5,-0.43784854
2017,6,-0.335379
2017,7,-0.5389408
2017,8,-0.6082273
2017,9,-0.4911033
2017,10,-1.3644902
2017,11,-2.0772007
2017,12,-2.7440941
2018,1,-1.4729317
2018,2,-2.2509143
2018,3,-2.0866373
2018,4,-2.0168874
2018,5,-1.9414124
2018,6,-2.0414257
2018,7,-1.8261688
2018,8,-2.2832322
2018,9,-2.3480175
2018,10,-2.3580847
2018,11,-1.8222829
2018,12,-1.1238295
2019,1,-0.88837856
2019,2,-2.6050148
2019,3,-1.9816496
2019,4,-2.0675652
2019,5,-1.8017983
2019,6,-2.388393
2019,7,-2.2281663
2019,8,-2.1774397
2019,9,-2.5526996
2019,10,-2.6022065
2019,11,-3.4234498
2019,12,-2.6324294
2020,1,-1.5613326
2020,2,-2.3690548
2020,3,-1.9382005
2020,4,-1.9867525
2020,5,-1.5226381
2020,6,-1.9432335
2020,7,-2.124275
2020,8,-1.462795
2020,9,-1.2785507
2020,10,-1.8493801
2020,11,-2.6590586
2020,12,-1.4198401
2021,1,-0.6416635
2021,2,-1.1312664
2021,3,-0.8469672
2021,4,-1.8547568
2021,5,-0.8244794
2021,6,-0.57936144
2021,7,-0.774766
2021,8,-1.0608746
2021,9,-0.6949397
2021,10,-0.087718114
2021,11,-0.36653402
2021,12,-2.0884018
2022,1,-1.414653
2022,2,-2.0935917
2022,3,-1.1043676
2022,4,-0.6396689
2022,5,-0.4082268
2022,6,-0.6716028
2022,7,-0.48225054
2022,8,-0.6350609
2022,9,-0.89135396
2022,10,-1.9049813
2022,11,-2.4665391
2022,12,-2.9537911
2023,1,-1.6885263
2023,2,-2.2435093
2023,3,-2.7823696
2023,4,-1.9492838
2023,5,-1.2931495
2023,6,-1.3224151
2023,7,-1.4116158
2023,8,-1.3941942
2023,9,-1.761292
